Nombre empresa;Caracteristicas producto;Precios;Valor mas economico del producto es;El valor promedio del producto es;El valor mas caro del producto es;La varianza de los precios es de
Sc global;Unidad de Estado Sólido Kingston NV2 1TB M.2 2280 NVMe PCIe Internal SSD U;76990;71990;80323;91991;7.223.000.022.222.220
C integral;SSD M.2 2280 PCIe4 NVMe 1000GB KINGSTON NV2;91991;71990;80323;91991;7.223.000.022.222.220
Pc link store;Unidad de estado solido Kingston SSD 1TB M.2 3500/2100MB/s PCIe 4.0x4 NVMe NV2 | PCLinkStore somos full Tecnología;71990;71990;80323;91991;7.223.000.022.222.220
