Nombre empresa;Caracteristicas producto;Precios;Valor mas economico del producto es;El valor promedio del producto es;El valor mas caro del producto es;La varianza de los precios es de
Pc factory;"HP Notebook Gamer OMEN Intel i5-11400H NVIDIA RTX 3060 6GB 16.1"" FHD 60Hz 8GB RAM +32GB Optane 512GB SSD Windows 10 Shadow Black 16-b0509la | PC Factory";1051490;869990;1220490;1739990;140430500000.0
scglobal;Notebook Gamer HP Omen 16-b0509la incluye memoria Kingston 16GB integrada, i5-11400H 512GB SSD W11H;1739990;869990;1220490;1739990;140430500000.0
Cintegral;Notebook Gamer HP Omen 16-b0509la i5-11400H 8GB 512GB SSD+32GB W11H;869990;869990;1220490;1739990;140430500000.0
